object_id,slope,profile_curvature,planar_curvature,lithology,twi,rainfall,ndvi,distance_to_river,distance_to_fault,slope_unit,slope_structure,hazard_label,rainfall_slope_interaction,saturation_potential,fault_vulnerability,stream_power_index_approx,disturbance_index,hydro_stress
500533,5,6,4,2,5,1.0,7,5,3,105,4,0,5,5,0.5,25,4,0.196078431372549
1564788,2,5,7,2,4,3.0,8,4,1,80,1,0,6,12,1.0,8,7,0.7317073170731708
1595105,5,6,3,2,2,3.0,7,5,1,81,4,0,15,6,1.0,10,6,1.4285714285714286
1394860,2,7,6,2,2,2.0,7,5,2,1,4,0,4,4,0.6666666666666666,4,5,0.9523809523809524
2985332,1,4,6,3,1,6.0,7,1,2,23,4,0,6,6,1.0,1,9,5.454545454545454
2239378,4,8,3,3,7,3.0,9,3,3,57,4,0,12,21,0.75,28,6,0.4225352112676057
2684007,5,4,6,3,3,5.0,5,4,3,45,5,0,25,15,0.75,15,5,1.6129032258064515
1158740,5,4,5,6,4,1.0,6,1,2,88,4,0,5,4,2.0,20,9,0.2439024390243902
2997888,4,5,6,3,8,5.0,7,3,2,23,4,0,20,40,1.0,32,7,0.617283950617284
1746267,6,6,6,3,5,2.0,7,1,4,78,1,0,12,10,0.6,30,7,0.3921568627450981
2760509,4,6,5,3,6,6.0,8,1,2,31,4,0,24,36,1.0,24,9,0.9836065573770492
2285278,5,5,6,3,7,7.0,9,2,4,56,1,0,35,49,0.6,35,6,0.9859154929577464
2537449,4,7,5,3,2,5.0,7,3,4,12,4,0,20,10,0.6,8,5,2.380952380952381
1576506,7,6,4,2,4,4.0,6,4,1,80,1,0,28,16,1.0,28,7,0.9756097560975612
1019299,7,6,5,4,3,4.0,8,1,1,90,1,0,28,12,2.0,21,10,1.2903225806451613
2900834,7,6,6,3,6,5.0,5,3,3,19,4,0,35,30,0.75,42,6,0.819672131147541
2594148,8,4,7,3,6,7.0,9,2,4,50,4,0,56,42,0.6,48,6,1.1475409836065575
708693,3,6,6,2,6,2.0,6,4,1,0,0,0,6,12,1.0,18,7,0.3278688524590164
3450471,2,6,6,3,2,8.0,8,1,2,21,4,0,16,16,1.0,4,9,3.809523809523809
798398,3,5,6,1,1,2.0,9,1,1,95,4,0,6,2,0.5,3,10,1.818181818181818
1731580,4,6,5,3,1,1.0,6,2,3,77,5,0,4,1,0.75,4,7,0.9090909090909092
2618644,6,6,5,3,3,5.0,8,1,1,48,4,0,30,15,1.5,18,10,1.6129032258064515
3144278,2,4,6,3,4,3.0,6,2,3,37,4,0,6,12,0.75,8,7,0.7317073170731708
2631493,5,4,6,3,2,7.0,8,1,1,48,4,0,35,14,1.5,10,10,3.333333333333333
2445323,3,6,6,3,1,5.0,7,1,3,10,5,0,15,5,0.75,3,8,4.545454545454545
2617468,3,6,5,3,3,5.0,9,1,2,48,4,0,15,15,1.0,9,9,1.6129032258064515
